CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6C5R9	YALI0E15708g1_1	2.92786E-05	3.98784E-05	3.69075E-05	2.58532E-05	2.14728E-05	1.79261E-05	2.12069E-05	1.57509E-05	1.47078E-05	1.69537E-05	1.62425E-05
Q6C109	YALI0F20218g1_1	7.45235E-06	1.03729E-05	1.38341E-05	8.07717E-06	6.19023E-06	4.34896E-06	4.96302E-06	5.90394E-06	7.43072E-06	8.68876E-06	9.75116E-06
Q6C7Y1	YALI0D24431g1_1	2.25455E-05	1.90233E-05	2.85646E-05	1.7633E-05	1.80652E-05	1.36963E-05	1.95102E-05	2.72606E-05	2.94192E-05	3.15535E-05	3.57747E-05
Q05493	YALI0E18568g1_1	5.45278E-05	4.26349E-05	5.0272E-05	3.68992E-05	3.032E-05	2.90385E-05	2.82135E-05	2.00103E-05	2.35567E-05	2.65713E-05	3.09129E-05
0	0	5.66794E-06	1.77449E-05	4.06401E-05	1.88812E-05	1.41285E-05	1.43037E-05	1.49879E-05	2.66707E-05	2.53352E-05	1.23817E-05	3.18967E-05
Q6C3H7	YALI0E34749g1_1	1.35888E-05	2.23709E-05	2.55527E-05	1.1999E-05	4.036E-06	2.8355E-06	2.4887E-06	2.37912E-06	5.7256E-06	3.75401E-06	2.11857E-06
Q6C234	YALI0F11231g1_1	1.56241E-05	1.77174E-05	2.36293E-05	1.51497E-05	1.05732E-05	1.08572E-05	8.4771E-06	1.45317E-05	1.41067E-05	1.37991E-05	1.94684E-05
Q6C2I1	YALI0F07711g1_1	3.37441E-05	2.63842E-05	2.15889E-05	2.7396E-05	1.87632E-05	1.79702E-05	1.62844E-05	1.66909E-05	1.35966E-05	1.79655E-05	2.98599E-05
Q6C8C6	YALI0D20768g1_1	2.50763E-05	3.14034E-05	3.70286E-05	1.53657E-05	2.23327E-05	2.64281E-05	2.22176E-05	1.85288E-05	1.97808E-05	2.51906E-05	2.04861E-05
Q6C2B3	YALI0F09273g1_1	1.20679E-05	1.29292E-05	1.84878E-05	1.40082E-05	2.57352E-05	2.00955E-05	2.26542E-05	2.16567E-05	2.57353E-05	3.03989E-05	1.29603E-05
Q6C9G6	YALI0D11374g1_1	1.25439E-05	1.22048E-05	1.90674E-05	1.10763E-05	1.51678E-05	1.26626E-05	1.2443E-05	9.64868E-06	1.03892E-05	9.9818E-06	1.40828E-05
Q6C1K2	YALI0F15587g1_1	8.10456E-05	7.04319E-05	3.69075E-05	4.96615E-05	4.50651E-05	3.6094E-05	4.78063E-05	1.65859E-05	2.81368E-05	3.25665E-05	4.59464E-05
Q6C5W5	YALI0E14597g1_1	2.77973E-05	2.7046E-05	1.64189E-05	2.45452E-05	7.34682E-06	7.43792E-06	1.32785E-05	1.26938E-05	1.10868E-05	1.03122E-05	1.309E-05
